id,line,low_limit,norminal,process,product,site,soucrce,spc,station,up_limit
206,line_1,-0.05,0,laser_qc,Stanford,RT,line_1,Offset_31,Noodle_gap_offset,0.05
207,line_1,0,0,laser_qc,Stanford,RT,line_1,Waveness,Noodle_gap_offset,2
208,line_1,0,0,laser_qc,Stanford,RT,line_1,AW_Noddle_Wp,Noodle_gap_offset,2
209,line_1,-1,0,laser_qc,Stanford,RT,line_1,AW_Noddle_Wv,Noodle_gap_offset,1
210,line_1,0,0,laser_qc,Stanford,RT,line_1,AW_Noddle_Wq,Noodle_gap_offset,2
211,line_1,0,0,laser_qc,Stanford,RT,line_1,AW_Noddle_Wku,Noodle_gap_offset,10
212,line_1,0,0,laser_qc,Stanford,RT,line_1,HSG_Noddle_Wp,Noodle_gap_offset,2
213,line_1,-1,0,laser_qc,Stanford,RT,line_1,HSG_Noddle_Wv,Noodle_gap_offset,1
214,line_1,0,0,laser_qc,Stanford,RT,line_1,HSG_Noddle_Wq,Noodle_gap_offset,1
215,line_1,0,0,laser_qc,Stanford,RT,line_1,HSG_Noddle_Wku,Noodle_gap_offset,10
216,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C1,Split Width/Offset(4G),1.9
217,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C3,Split Width/Offset(4G),1.9
218,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C4,Split Width/Offset(4G),1.9
219,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C5,Split Width/Offset(4G),1.9
220,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C6,Split Width/Offset(4G),1.9
221,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C8,Split Width/Offset(4G),1.9
222,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C10,Split Width/Offset(4G),1.9
223,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C12,Split Width/Offset(4G),1.9
224,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C14,Split Width/Offset(4G),1.9
225,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C16,Split Width/Offset(4G),1.9
226,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C18,Split Width/Offset(4G),1.9
227,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C20,Split Width/Offset(4G),1.9
228,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C22,Split Width/Offset(4G),1.9
229,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C23,Split Width/Offset(4G),1.9
230,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C24,Split Width/Offset(4G),1.9
231,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C25,Split Width/Offset(4G),1.9
232,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MZ_C26,Split Width/Offset(4G),1.9
233,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F1,Split Width/Offset(4G),1.9
234,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F3,Split Width/Offset(4G),1.9
235,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F4,Split Width/Offset(4G),1.9
236,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F5,Split Width/Offset(4G),1.9
237,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F6,Split Width/Offset(4G),1.9
238,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F8,Split Width/Offset(4G),1.9
239,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F10,Split Width/Offset(4G),1.9
240,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F12,Split Width/Offset(4G),1.9
241,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F14,Split Width/Offset(4G),1.9
242,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F16,Split Width/Offset(4G),1.9
243,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F18,Split Width/Offset(4G),1.9
244,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F20,Split Width/Offset(4G),1.9
245,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F22,Split Width/Offset(4G),1.9
246,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F23,Split Width/Offset(4G),1.9
247,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F24,Split Width/Offset(4G),1.9
248,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F25,Split Width/Offset(4G),1.9
249,line_1,1.7,1.8,laser_qc,Stanford,RT,line_1,SPC_MN_F26,Split Width/Offset(4G),1.9
250,line_1,-0.02,0,laser_qc,Stanford,RT,line_1,SPC_OY_F1-W,Split Width/Offset(4G),0.04
251,line_1,-0.02,0,laser_qc,Stanford,RT,line_1,SPC_OY_F3-W,Split Width/Offset(4G),0.04
252,line_1,-0.02,0,laser_qc,Stanford,RT,line_1,SPC_OY_F4-W,Split Width/Offset(4G),0.04
253,line_1,-0.02,0,laser_qc,Stanford,RT,line_1,SPC_OY_F5-W,Split Width/Offset(4G),0.04
254,line_1,-0.02,0,laser_qc,Stanford,RT,line_1,SPC_OY_F6-W,Split Width/Offset(4G),0.04
255,line_1,-0.02,0,laser_qc,Stanford,RT,line_1,SPC_OY_F8-W,Split Width/Offset(4G),0.04
256,line_1,-0.02,0,laser_qc,Stanford,RT,line_1,SPC_OY_F10-W,Split Width/Offset(4G),0.04
257,line_1,-0.02,0,laser_qc,Stanford,RT,line_1,SPC_OY_F12-W,Split Width/Offset(4G),0.04
258,line_1,-0.02,0,laser_qc,Stanford,RT,line_1,SPC_OY_F14-W,Split Width/Offset(4G),0.04
259,line_1,-0.02,0,laser_qc,Stanford,RT,line_1,SPC_OY_F16-W,Split Width/Offset(4G),0.04
260,line_1,-0.02,0,laser_qc,Stanford,RT,line_1,SPC_OY_F18-W,Split Width/Offset(4G),0.04
261,line_1,-0.02,0,laser_qc,Stanford,RT,line_1,SPC_OY_F20-W,Split Width/Offset(4G),0.04
262,line_1,-0.02,0,laser_qc,Stanford,RT,line_1,SPC_OY_F22-W,Split Width/Offset(4G),0.04
263,line_1,-0.02,0,laser_qc,Stanford,RT,line_1,SPC_OY_F23-W,Split Width/Offset(4G),0.04
